# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D 眼镜佩戴方式设计
gid://shopify/TaxonomyAttribute/5350  : 管理类型
gid://shopify/TaxonomyAttribute/5209  : 下颌装置适配方法
gid://shopify/TaxonomyAttribute/9854  : 曼陀林背板和侧板木材
gid://shopify/TaxonomyAttribute/4993  : 曼陀林背板形状
gid://shopify/TaxonomyAttribute/9855  : 曼陀林琴身面板
gid://shopify/TaxonomyAttribute/9856  : 曼陀林琴桥类型
gid://shopify/TaxonomyAttribute/9857  : 曼陀林拾音器配置
gid://shopify/TaxonomyAttribute/9858  : 曼陀林琴弦配置
gid://shopify/TaxonomyAttribute/7834  : 山竹品种
gid://shopify/TaxonomyAttribute/10688 : 人体模型风格
gid://shopify/TaxonomyAttribute/2681  : 制造商类型
gid://shopify/TaxonomyAttribute/10689 : 制造过程
gid://shopify/TaxonomyAttribute/6449  : 地图覆盖范围（天空/行星）
gid://shopify/TaxonomyAttribute/10690 : 地图格式
gid://shopify/TaxonomyAttribute/6450  : 地图尺寸（图幅）
gid://shopify/TaxonomyAttribute/6010  : 地图样式
gid://shopify/TaxonomyAttribute/5676  : 地图更新政策
gid://shopify/TaxonomyAttribute/9859  : 马拉布羽毛形态
gid://shopify/TaxonomyAttribute/9860  : 马拉布羽毛处理工艺
gid://shopify/TaxonomyAttribute/6451  : 滚珠轨道套装功能模块
gid://shopify/TaxonomyAttribute/8497  : 海上信号弹认证/标准
gid://shopify/TaxonomyAttribute/3089  : 船舶导航仪特点
gid://shopify/TaxonomyAttribute/10691 : 符合海事安全标准
gid://shopify/TaxonomyAttribute/8498  : 船用传动类型
gid://shopify/TaxonomyAttribute/10692 : 漆弹枪动作类型
gid://shopify/TaxonomyAttribute/10693 : 标记器口径
gid://shopify/TaxonomyAttribute/5599  : 标记形式
gid://shopify/TaxonomyAttribute/5600  : 标记文字颜色
gid://shopify/TaxonomyAttribute/2256  : 马克笔尖端设计
gid://shopify/TaxonomyAttribute/10694 : 标记耐久性
gid://shopify/TaxonomyAttribute/9861  : 标记笔尖类型
gid://shopify/TaxonomyAttribute/5338  : 标志牌基材
gid://shopify/TaxonomyAttribute/7835  : 棉花糖加工方法
gid://shopify/TaxonomyAttribute/7836  : 棉花糖尺寸
gid://shopify/TaxonomyAttribute/10695 : 武术腰带段位
gid://shopify/TaxonomyAttribute/5269  : 睫毛膏刷头形状
gid://shopify/TaxonomyAttribute/1619  : 睫毛膏效果
gid://shopify/TaxonomyAttribute/5270  : 睫毛膏配方
gid://shopify/TaxonomyAttribute/6011  : 捣碎器压头设计
gid://shopify/TaxonomyAttribute/10696 : 击剑面罩护胸类型
gid://shopify/TaxonomyAttribute/10697 : 面罩笼架材质
gid://shopify/TaxonomyAttribute/5086  : 面罩垫材料
gid://shopify/TaxonomyAttribute/5098  : 面罩尺寸
gid://shopify/TaxonomyAttribute/10699 : 面镜裙边材质
gid://shopify/TaxonomyAttribute/10700 : 面镜头带材质
gid://shopify/TaxonomyAttribute/1594  : 面罩类型
gid://shopify/TaxonomyAttribute/10698 : 面罩/护目镜设计
gid://shopify/TaxonomyAttribute/2910  : 砖石材质
gid://shopify/TaxonomyAttribute/2061  : 砌体产品形态
gid://shopify/TaxonomyAttribute/8499  : 空气流量传感器测量类型
gid://shopify/TaxonomyAttribute/8500  : 空气质量流量传感器安装类型
gid://shopify/TaxonomyAttribute/6935  : 按摩功能
gid://shopify/TaxonomyAttribute/5169  : 按摩机制维度
gid://shopify/TaxonomyAttribute/2839  : 按摩石纹理
gid://shopify/TaxonomyAttribute/1528  : 按摩手法
gid://shopify/TaxonomyAttribute/10701 : 桅杆连接接口
gid://shopify/TaxonomyAttribute/10702 : 桅杆底座类型
gid://shopify/TaxonomyAttribute/10703 : 桅杆弯曲曲线
gid://shopify/TaxonomyAttribute/10704 : 桅杆直径类型
gid://shopify/TaxonomyAttribute/10705 : 垫背类型
gid://shopify/TaxonomyAttribute/2964  : 地垫基材
gid://shopify/TaxonomyAttribute/10706 : 垫子安装方法
gid://shopify/TaxonomyAttribute/10707 : 垫子款式
gid://shopify/TaxonomyAttribute/2788  : 地垫/地毯形状
gid://shopify/TaxonomyAttribute/4     : 材质
gid://shopify/TaxonomyAttribute/2148  : 材质坚固度
gid://shopify/TaxonomyAttribute/1222  : 材质硬度
gid://shopify/TaxonomyAttribute/5681  : 材料来源
gid://shopify/TaxonomyAttribute/5686  : 材料处理
gid://shopify/TaxonomyAttribute/3002  : 孕妇装特点
gid://shopify/TaxonomyAttribute/6763  : 孕妇装面板类型
gid://shopify/TaxonomyAttribute/3252  : 孕妇睡衣款式
gid://shopify/TaxonomyAttribute/6764  : 孕妇腰带款式
gid://shopify/TaxonomyAttribute/3109  : 床垫特点
gid://shopify/TaxonomyAttribute/6012  : 床笠特点
gid://shopify/TaxonomyAttribute/6936  : 床垫表层类型
gid://shopify/TaxonomyAttribute/7837  : 熟成容器材质
gid://shopify/TaxonomyAttribute/5544  : 最大位深度
gid://shopify/TaxonomyAttribute/2617  : 最大放大率
gid://shopify/TaxonomyAttribute/9862  : 支持的最大被子尺寸
gid://shopify/TaxonomyAttribute/5472  : 支持的最大卷盘直径
gid://shopify/TaxonomyAttribute/7838  : 用餐菜品
gid://shopify/TaxonomyAttribute/7839  : 餐食处理状态
gid://shopify/TaxonomyAttribute/5579  : 测量参数
gid://shopify/TaxonomyAttribute/1550  : 测量方法
gid://shopify/TaxonomyAttribute/6301  : 量勺的特点
gid://shopify/TaxonomyAttribute/1554  : 测量类型
gid://shopify/TaxonomyAttribute/1496  : 切肉
gid://shopify/TaxonomyAttribute/7840  : 肉类加工状态
gid://shopify/TaxonomyAttribute/7841  : 肉质等级
gid://shopify/TaxonomyAttribute/7842  : 肉类养殖声明
gid://shopify/TaxonomyAttribute/6302  : 嫩肉器工作面类型
gid://shopify/TaxonomyAttribute/6013  : 嫩肉器机制
gid://shopify/TaxonomyAttribute/1500  : 肉类
gid://shopify/TaxonomyAttribute/9863  : 机械织机组装状态
gid://shopify/TaxonomyAttribute/9864  : 机械织机织造类型
gid://shopify/TaxonomyAttribute/6452  : 机械拼图的核心机制
gid://shopify/TaxonomyAttribute/6453  : 机械解谜玩具解答形式
gid://shopify/TaxonomyAttribute/9865  : 奖牌佩戴方式
gid://shopify/TaxonomyAttribute/9866  : 奖章授予等级
gid://shopify/TaxonomyAttribute/9867  : 奖牌表面工艺
gid://shopify/TaxonomyAttribute/9868  : 奖牌包装
gid://shopify/TaxonomyAttribute/2539  : 媒体访问
gid://shopify/TaxonomyAttribute/2546  : 媒体内容类型
gid://shopify/TaxonomyAttribute/1823  : 媒体格式
gid://shopify/TaxonomyAttribute/5594  : 介质物理尺寸
gid://shopify/TaxonomyAttribute/5413  : 媒体播放器外形
gid://shopify/TaxonomyAttribute/2542  : 媒体领域
gid://shopify/TaxonomyAttribute/2540  : 媒体主题
gid://shopify/TaxonomyAttribute/3126  : 医疗报警功能
gid://shopify/TaxonomyAttribute/5106  : 医疗器械认证
gid://shopify/TaxonomyAttribute/3330  : 医疗识别类型
gid://shopify/TaxonomyAttribute/5688  : 医疗专科
gid://shopify/TaxonomyAttribute/5054  : 医疗符号
gid://shopify/TaxonomyAttribute/2601  : 医用注射器用途
gid://shopify/TaxonomyAttribute/2826  : 医用胶带材质
gid://shopify/TaxonomyAttribute/2963  : 药品/补充剂形态
gid://shopify/TaxonomyAttribute/2362  : 媒介
gid://shopify/TaxonomyAttribute/9869  : 含口风琴配件套装
gid://shopify/TaxonomyAttribute/9870  : 口风琴气室材质
gid://shopify/TaxonomyAttribute/9871  : 口风琴附带配件
gid://shopify/TaxonomyAttribute/9872  : 口风琴琴键配色方案
gid://shopify/TaxonomyAttribute/9873  : 口风琴吹嘴配置
gid://shopify/TaxonomyAttribute/9874  : 口风琴吹嘴类型
gid://shopify/TaxonomyAttribute/9875  : 口风琴簧片板材质
gid://shopify/TaxonomyAttribute/9876  : 口风琴尺寸等级
gid://shopify/TaxonomyAttribute/2487  : 口风琴风格
gid://shopify/TaxonomyAttribute/7843  : 甜瓜品种
gid://shopify/TaxonomyAttribute/1900  : 存储渠道
gid://shopify/TaxonomyAttribute/6937  : 记忆棉注入材料
gid://shopify/TaxonomyAttribute/1875  : 存储器形状因子
gid://shopify/TaxonomyAttribute/5567  : 内存 Rank 布局
gid://shopify/TaxonomyAttribute/2031  : 存储器存储类型
gid://shopify/TaxonomyAttribute/1840  : 存储技术
gid://shopify/TaxonomyAttribute/9877  : 记忆线规格
gid://shopify/TaxonomyAttribute/9878  : 记忆合金线材产品规格
gid://shopify/TaxonomyAttribute/1638  : 月经杯形状
gid://shopify/TaxonomyAttribute/5322  : 月经杯尺寸
gid://shopify/TaxonomyAttribute/5321  : 月经杯柄类型
gid://shopify/TaxonomyAttribute/5351  : 网状网络技术
gid://shopify/TaxonomyAttribute/3737  : 网布类型
gid://shopify/TaxonomyAttribute/3050  : 金属探测器功能
gid://shopify/TaxonomyAttribute/2131  : 金属成型应用
gid://shopify/TaxonomyAttribute/6765  : 金属纯度
gid://shopify/TaxonomyAttribute/2741  : 仪表类型
gid://shopify/TaxonomyAttribute/10708 : 统计指标
gid://shopify/TaxonomyAttribute/1551  : 支持的指标
gid://shopify/TaxonomyAttribute/9879  : 节拍器显示方式
gid://shopify/TaxonomyAttribute/9880  : 节拍器输出方法
gid://shopify/TaxonomyAttribute/4364  : 千分尺类型
gid://shopify/TaxonomyAttribute/3425  : 麦克风设计
gid://shopify/TaxonomyAttribute/5457  : 麦克风前置放大器外形
gid://shopify/TaxonomyAttribute/1796  : 麦克风线
gid://shopify/TaxonomyAttribute/6454  : 麦克风玩具功能套装
gid://shopify/TaxonomyAttribute/1815  : 麦克风类型
gid://shopify/TaxonomyAttribute/5428  : 麦克风防风罩类型
gid://shopify/TaxonomyAttribute/6015  : 微波炉兼容性
gid://shopify/TaxonomyAttribute/6016  : 微波炉功能
gid://shopify/TaxonomyAttribute/6766  : 军种
gid://shopify/TaxonomyAttribute/7844  : 奶基底类型
gid://shopify/TaxonomyAttribute/7845  : 奶源喂养方式
gid://shopify/TaxonomyAttribute/6017  : 奶泡机类型
gid://shopify/TaxonomyAttribute/6018  : 牛奶起泡方法
gid://shopify/TaxonomyAttribute/6019  : 牛奶起泡系统
gid://shopify/TaxonomyAttribute/7846  : 牛奶加工方法
gid://shopify/TaxonomyAttribute/7847  : 奶源动物
gid://shopify/TaxonomyAttribute/7848  : 小米加工方法
gid://shopify/TaxonomyAttribute/7849  : 小米品种
gid://shopify/TaxonomyAttribute/7850  : 研磨工艺
gid://shopify/TaxonomyAttribute/2378  : 矿物类
gid://shopify/TaxonomyAttribute/5134  : 矿物质化合物形式
gid://shopify/TaxonomyAttribute/2618  : 最小放大率
gid://shopify/TaxonomyAttribute/9882  : 铸币标记
gid://shopify/TaxonomyAttribute/6938  : 镜子配置
gid://shopify/TaxonomyAttribute/6939  : 镜面覆盖范围
gid://shopify/TaxonomyAttribute/6020  : 镜面曲率
gid://shopify/TaxonomyAttribute/10709 : 镜面曲率类型
gid://shopify/TaxonomyAttribute/2560  : 镜把手设计
gid://shopify/TaxonomyAttribute/10710 : 镜子安装位置
gid://shopify/TaxonomyAttribute/6940  : 后视镜形状
gid://shopify/TaxonomyAttribute/5247  : 镜子面数
gid://shopify/TaxonomyAttribute/6021  : 镜面类型
gid://shopify/TaxonomyAttribute/5283  : 喷雾应用区域
gid://shopify/TaxonomyAttribute/6022  : 雾化输出默示
gid://shopify/TaxonomyAttribute/8501  : 混合比例
gid://shopify/TaxonomyAttribute/1827  : 混合器类型
gid://shopify/TaxonomyAttribute/6303  : 搅拌碗的特点
gid://shopify/TaxonomyAttribute/6023  : 搅拌机制
gid://shopify/TaxonomyAttribute/1736  : 移动安装类型
gid://shopify/TaxonomyAttribute/1738  : 悬挂饰物运动
gid://shopify/TaxonomyAttribute/5429  : 手机包含的配件
gid://shopify/TaxonomyAttribute/3073  : 手机壳特点
gid://shopify/TaxonomyAttribute/5015  : 手机连接器类型
gid://shopify/TaxonomyAttribute/5016  : 手机外形
gid://shopify/TaxonomyAttribute/6941  : 移动性能特征
gid://shopify/TaxonomyAttribute/1582  : 代步车类型
gid://shopify/TaxonomyAttribute/5379  : 移动性类型
gid://shopify/TaxonomyAttribute/3127  : 无障碍设备特点
gid://shopify/TaxonomyAttribute/6024  : 年糕机功能
gid://shopify/TaxonomyAttribute/6025  : 工作模式
gid://shopify/TaxonomyAttribute/6455  : 模型飞机组装等级
gid://shopify/TaxonomyAttribute/2395  : 模型控制技术
gid://shopify/TaxonomyAttribute/5042  : 人体模型性别呈现
gid://shopify/TaxonomyAttribute/9883  : 模型制作套件所含物品
gid://shopify/TaxonomyAttribute/9884  : 模型制作产品类型
gid://shopify/TaxonomyAttribute/9885  : 模型火箭套件所含物品
gid://shopify/TaxonomyAttribute/9886  : 模型火箭套件形式
gid://shopify/TaxonomyAttribute/9887  : 模型火箭发动机冲量等级
gid://shopify/TaxonomyAttribute/6456  : 模型火箭发动机安装座尺寸
gid://shopify/TaxonomyAttribute/9888  : 模型火箭所需的动力源
gid://shopify/TaxonomyAttribute/9889  : 模型火箭推进剂类型
gid://shopify/TaxonomyAttribute/9890  : 模型火箭推荐发射杆或导轨尺寸
gid://shopify/TaxonomyAttribute/9891  : 模型火箭回收方法
gid://shopify/TaxonomyAttribute/6457  : 模型火箭回收系统类型
gid://shopify/TaxonomyAttribute/6458  : 模型火箭级数
gid://shopify/TaxonomyAttribute/9892  : 模型火车配件电气连接类型
gid://shopify/TaxonomyAttribute/2393  : 模型火车配件类型
gid://shopify/TaxonomyAttribute/9893  : 模型火车耦合器类型
gid://shopify/TaxonomyAttribute/9894  : 模型火车轨距
gid://shopify/TaxonomyAttribute/9895  : 模型火车照明功能
gid://shopify/TaxonomyAttribute/9896  : 模型火车供电方式
gid://shopify/TaxonomyAttribute/9897  : 模型火车比例
gid://shopify/TaxonomyAttribute/9898  : 模型火车音效功能
gid://shopify/TaxonomyAttribute/3022  : 模型火车主题
gid://shopify/TaxonomyAttribute/9899  : 模型火车轨距
gid://shopify/TaxonomyAttribute/9900  : 造型彩泥基础材质
gid://shopify/TaxonomyAttribute/9901  : 造型彩泥特性
gid://shopify/TaxonomyAttribute/5360  : 调制解调器外形
gid://shopify/TaxonomyAttribute/5361  : 调制解调器技术
gid://shopify/TaxonomyAttribute/9902  : 改性程度
gid://shopify/TaxonomyAttribute/1867  : 调制方法
gid://shopify/TaxonomyAttribute/6026  : 吸湿剂的形态
gid://shopify/TaxonomyAttribute/3341  : 保湿霜类型
gid://shopify/TaxonomyAttribute/7851  : 糖蜜基础原料
gid://shopify/TaxonomyAttribute/7852  : 糖蜜等级
gid://shopify/TaxonomyAttribute/9903  : 模具材质
gid://shopify/TaxonomyAttribute/2955  : 铸模/切割形状
gid://shopify/TaxonomyAttribute/2097  : 成型应用
gid://shopify/TaxonomyAttribute/2119  : 成型形状
gid://shopify/TaxonomyAttribute/6027  : 取出资金的方法
gid://shopify/TaxonomyAttribute/2795  : 监视器安装类型
gid://shopify/TaxonomyAttribute/2905  : 监视器形状
gid://shopify/TaxonomyAttribute/2007  : 显示器类型
gid://shopify/TaxonomyAttribute/3085  : 监视器/屏幕特色功能
gid://shopify/TaxonomyAttribute/5109  : 监测方法
gid://shopify/TaxonomyAttribute/5053  : 监控服务类型
gid://shopify/TaxonomyAttribute/6028  : 拖把头类型
gid://shopify/TaxonomyAttribute/6029  : 拖把拧干装置
gid://shopify/TaxonomyAttribute/1841  : 主板芯片组系列
gid://shopify/TaxonomyAttribute/1842  : 主板形状因子
gid://shopify/TaxonomyAttribute/3071  : 主板内存特性
gid://shopify/TaxonomyAttribute/1734  : 运动
gid://shopify/TaxonomyAttribute/2793  : 运动传感器类型
gid://shopify/TaxonomyAttribute/10713 : 电机皮带类型
gid://shopify/TaxonomyAttribute/10714 : 电机配置
gid://shopify/TaxonomyAttribute/8502  : 电机安装配置
gid://shopify/TaxonomyAttribute/10715 : 电机安装位置
gid://shopify/TaxonomyAttribute/10716 : 电机位置
gid://shopify/TaxonomyAttribute/2162  : 电机启动方法
gid://shopify/TaxonomyAttribute/5255  : 马达类型
gid://shopify/TaxonomyAttribute/8503  : 机动车影音集成功能
gid://shopify/TaxonomyAttribute/8504  : 机动车灯泡应用/位置
gid://shopify/TaxonomyAttribute/8505  : 机动车灯泡认证标准
gid://shopify/TaxonomyAttribute/8506  : 机动车氧气传感器缸组
gid://shopify/TaxonomyAttribute/8507  : 机动车氧传感器线束数量
gid://shopify/TaxonomyAttribute/8508  : 机动车氧传感器位置
gid://shopify/TaxonomyAttribute/8509  : 机动车氧传感器编号
gid://shopify/TaxonomyAttribute/8510  : 机动车氧气传感器类型
gid://shopify/TaxonomyAttribute/8511  : 机动车油漆施工方法
gid://shopify/TaxonomyAttribute/8512  : 机动车涂装工序步骤
gid://shopify/TaxonomyAttribute/2698  : 机动车辆安置
gid://shopify/TaxonomyAttribute/8513  : 机动车扬声器安装类型
gid://shopify/TaxonomyAttribute/8514  : 汽车重低音扬声器尺寸
gid://shopify/TaxonomyAttribute/8515  : 机动车低音炮音圈配置
gid://shopify/TaxonomyAttribute/8516  : 机动车低音炮音圈阻抗（每个音圈）
gid://shopify/TaxonomyAttribute/2695  : 机动车类型
gid://shopify/TaxonomyAttribute/8517  : 机动车电压调节器类型
gid://shopify/TaxonomyAttribute/8518  : 摩托车护甲认证标准
gid://shopify/TaxonomyAttribute/8519  : 摩托车罩尺寸等级
gid://shopify/TaxonomyAttribute/2750  : 摩托车驱动类型
gid://shopify/TaxonomyAttribute/8520  : 摩托车手套认证标准
gid://shopify/TaxonomyAttribute/2716  : 摩托车手套用途
gid://shopify/TaxonomyAttribute/8521  : 摩托车手套防水结构
gid://shopify/TaxonomyAttribute/8522  : 摩托车防护覆盖范围
gid://shopify/TaxonomyAttribute/8523  : 摩托车护肾腰带结构类型
gid://shopify/TaxonomyAttribute/8524  : 摩托车护腰用途
gid://shopify/TaxonomyAttribute/8525  : 摩托车行李容量等级
gid://shopify/TaxonomyAttribute/8526  : 摩托车行李架安装系统
gid://shopify/TaxonomyAttribute/8527  : 摩托车行李侧
gid://shopify/TaxonomyAttribute/8528  : 摩托车防护装备尺码体系
gid://shopify/TaxonomyAttribute/8529  : 摩托车货架载物形式
gid://shopify/TaxonomyAttribute/8530  : 摩托车骑行领域
gid://shopify/TaxonomyAttribute/8531  : 摩托车轮胎速度级别
gid://shopify/TaxonomyAttribute/2702  : 摩托车轮胎类型
gid://shopify/TaxonomyAttribute/2751  : 摩托车/小摩托车类型
gid://shopify/TaxonomyAttribute/8532  : 赛车车窗防护网认证
gid://shopify/TaxonomyAttribute/10717 : 坡道使用类型
gid://shopify/TaxonomyAttribute/8533  : 支架固定方式
gid://shopify/TaxonomyAttribute/5675  : 支架安装点
gid://shopify/TaxonomyAttribute/5674  : 支架接口系统
gid://shopify/TaxonomyAttribute/2789  : 底座材料
gid://shopify/TaxonomyAttribute/3023  : 底座/支架特点
gid://shopify/TaxonomyAttribute/10718 : 山地板支架类型
gid://shopify/TaxonomyAttribute/6030  : 安装螺栓孔的布局
gid://shopify/TaxonomyAttribute/2794  : 安装五金件
gid://shopify/TaxonomyAttribute/8534  : 随附的安装硬件（供安装使用）
gid://shopify/TaxonomyAttribute/5430  : 安装接口模式
gid://shopify/TaxonomyAttribute/5619  : 安装接口标准
gid://shopify/TaxonomyAttribute/8535  : 安装位置
gid://shopify/TaxonomyAttribute/5017  : 安装机制
gid://shopify/TaxonomyAttribute/8536  : 安装方法
gid://shopify/TaxonomyAttribute/8537  : 安装位置
gid://shopify/TaxonomyAttribute/10719 : 安装导轨类型
gid://shopify/TaxonomyAttribute/8538  : 安装接收器尺寸
gid://shopify/TaxonomyAttribute/5343  : 安装方式
gid://shopify/TaxonomyAttribute/5506  : 安装技术
gid://shopify/TaxonomyAttribute/5521  : 安装螺纹尺寸
gid://shopify/TaxonomyAttribute/1205  : 装载的类型
gid://shopify/TaxonomyAttribute/8539  : 安装/收纳类型
gid://shopify/TaxonomyAttribute/9904  : 安装/固定方式
gid://shopify/TaxonomyAttribute/9905  : 安装/固定类型
gid://shopify/TaxonomyAttribute/3080  : 鼠标垫特点
gid://shopify/TaxonomyAttribute/1915  : 鼠标端口类型
gid://shopify/TaxonomyAttribute/1917  : 鼠标技术
gid://shopify/TaxonomyAttribute/3083  : 鼠标/轨迹球特点
gid://shopify/TaxonomyAttribute/10720 : 咬嘴类型
gid://shopify/TaxonomyAttribute/3381  : 牙套设计
gid://shopify/TaxonomyAttribute/10721 : 护齿器模具类型
gid://shopify/TaxonomyAttribute/2483  : 吹口
gid://shopify/TaxonomyAttribute/9906  : 号嘴前端长度
gid://shopify/TaxonomyAttribute/9907  : 吹嘴材质
gid://shopify/TaxonomyAttribute/9909  : 号嘴杆身尺寸
gid://shopify/TaxonomyAttribute/9910  : 号嘴接口类型
gid://shopify/TaxonomyAttribute/9908  : 吹嘴柄/接收器尺寸
gid://shopify/TaxonomyAttribute/6031  : 吹口形状
gid://shopify/TaxonomyAttribute/10722 : 口衔样式
gid://shopify/TaxonomyAttribute/9911  : 吹口类型
gid://shopify/TaxonomyAttribute/6942  : 运动机制
gid://shopify/TaxonomyAttribute/6032  : 割草机底盘材质
gid://shopify/TaxonomyAttribute/7853  : 消音器尺寸
gid://shopify/TaxonomyAttribute/6033  : 覆盖物形态
gid://shopify/TaxonomyAttribute/1843  : 多 GPU 技术
gid://shopify/TaxonomyAttribute/5355  : 复用器技术
gid://shopify/TaxonomyAttribute/3128  : 肌肉刺激器设计
gid://shopify/TaxonomyAttribute/7854  : 蘑菇品种
gid://shopify/TaxonomyAttribute/1793  : 音乐流派
gid://shopify/TaxonomyAttribute/2441  : 乐谱架设计
gid://shopify/TaxonomyAttribute/9912  : 乐谱架桌面倾斜度调节
gid://shopify/TaxonomyAttribute/9913  : 谱架适用场景
gid://shopify/TaxonomyAttribute/9914  : 音乐块音高类型
gid://shopify/TaxonomyAttribute/6459  : 音乐盒机芯类型
gid://shopify/TaxonomyAttribute/2488  : 琴键
gid://shopify/TaxonomyAttribute/9915  : 电子琴琴包适配类型
gid://shopify/TaxonomyAttribute/9916  : 音乐棘轮音效特征
gid://shopify/TaxonomyAttribute/9917  : 音乐刮擦器凹槽表面材质
gid://shopify/TaxonomyAttribute/9918  : 刮奏乐器类型
gid://shopify/TaxonomyAttribute/9919  : 弱音器固定方式
gid://shopify/TaxonomyAttribute/9920  : 弱音器衰减等级
gid://shopify/TaxonomyAttribute/9921  : 静音软木/衬垫材质
gid://shopify/TaxonomyAttribute/9922  : 弱音器覆盖类型
gid://shopify/TaxonomyAttribute/9923  : 静音垫表面处理工艺
gid://shopify/TaxonomyAttribute/5583  : NEMA 机箱等级
gid://shopify/TaxonomyAttribute/3338  : 包含美甲用品
gid://shopify/TaxonomyAttribute/5280  : 美甲艺术介质类型
gid://shopify/TaxonomyAttribute/3131  : 指甲护理特点
gid://shopify/TaxonomyAttribute/1623  : 指甲设计
gid://shopify/TaxonomyAttribute/3339  : 指甲油干燥方式
gid://shopify/TaxonomyAttribute/1624  : 指甲形状
gid://shopify/TaxonomyAttribute/9924  : 姓名标签文本模板
gid://shopify/TaxonomyAttribute/6034  : 包含的午休息垫物品
gid://shopify/TaxonomyAttribute/6035  : 餐巾边缘处理
gid://shopify/TaxonomyAttribute/9925  : 餐巾纸层
gid://shopify/TaxonomyAttribute/2673  : 国家/地区评级
gid://shopify/TaxonomyAttribute/1958  : 原生纵横比
gid://shopify/TaxonomyAttribute/3129  : 雾化器设计
gid://shopify/TaxonomyAttribute/1591  : 雾化器技术
gid://shopify/TaxonomyAttribute/8540  : 颈托适配系统
gid://shopify/TaxonomyAttribute/8541  : 颈托尺码基准
gid://shopify/TaxonomyAttribute/9926  : 颈管配置
gid://shopify/TaxonomyAttribute/10723 : 颈部覆盖类型
gid://shopify/TaxonomyAttribute/8542  : 颈部支撑尺码体系
gid://shopify/TaxonomyAttribute/3262  : 项链设计
gid://shopify/TaxonomyAttribute/6767  : 项链长度类型
gid://shopify/TaxonomyAttribute/32    : 领口
gid://shopify/TaxonomyAttribute/10724 : 针平衡区
gid://shopify/TaxonomyAttribute/9927  : 针盒格式
gid://shopify/TaxonomyAttribute/5044  : 针涂层类型
gid://shopify/TaxonomyAttribute/10725 : 指针阻尼类型
gid://shopify/TaxonomyAttribute/2354  : 针眼类型
gid://shopify/TaxonomyAttribute/9928  : 针毡针轮廓
gid://shopify/TaxonomyAttribute/2602  : 针规
gid://shopify/TaxonomyAttribute/9929  : 针筒功能
gid://shopify/TaxonomyAttribute/9930  : 针座安装/固定方式
gid://shopify/TaxonomyAttribute/9931  : 针托样式
gid://shopify/TaxonomyAttribute/1545  : 针材质
gid://shopify/TaxonomyAttribute/9932  : 推针面类型
gid://shopify/TaxonomyAttribute/9933  : 所需针型（串珠图案）
gid://shopify/TaxonomyAttribute/2355  : 针尺寸
gid://shopify/TaxonomyAttribute/9934  : 针号体系
gid://shopify/TaxonomyAttribute/9935  : 穿线器适配针型
gid://shopify/TaxonomyAttribute/9936  : 穿针器装置类型
gid://shopify/TaxonomyAttribute/9937  : 穿针器包装类型
gid://shopify/TaxonomyAttribute/9938  : 刺绣面料色系
gid://shopify/TaxonomyAttribute/9939  : 刺绣工艺面料成分
gid://shopify/TaxonomyAttribute/9940  : 刺绣面料编织类型
gid://shopify/TaxonomyAttribute/9941  : 刺绣套件所含物品
gid://shopify/TaxonomyAttribute/9942  : 刺绣套件项目类型
gid://shopify/TaxonomyAttribute/3271  : 针线包类型
gid://shopify/TaxonomyAttribute/9943  : 刺绣针法覆盖范围
gid://shopify/TaxonomyAttribute/9944  : 绒绣帆布网眼数
gid://shopify/TaxonomyAttribute/9945  : 绒绣框架帆布固定方式
gid://shopify/TaxonomyAttribute/9946  : 绣架适配支架类型
gid://shopify/TaxonomyAttribute/9947  : 绒绣框架内容
gid://shopify/TaxonomyAttribute/9948  : 绒绣框架张力调节类型
gid://shopify/TaxonomyAttribute/9949  : 针绣图案图纸格式
gid://shopify/TaxonomyAttribute/9950  : 绒绣项目类型
gid://shopify/TaxonomyAttribute/2054  : 负片/幻灯片存储类型
gid://shopify/TaxonomyAttribute/10726 : 网眼设计
gid://shopify/TaxonomyAttribute/2848  : 网球网材质
gid://shopify/TaxonomyAttribute/10727 : 网眼图案
gid://shopify/TaxonomyAttribute/2855  : 网球网安装类型
gid://shopify/TaxonomyAttribute/10728 : 网线规格
gid://shopify/TaxonomyAttribute/1895  : 网线接口
gid://shopify/TaxonomyAttribute/5359  : 网络层支持
gid://shopify/TaxonomyAttribute/1937  : 支持的网络协议
gid://shopify/TaxonomyAttribute/1938  : 网络标准
gid://shopify/TaxonomyAttribute/5522  : 中性密度等级
gid://shopify/TaxonomyAttribute/7855  : 尼古丁来源
gid://shopify/TaxonomyAttribute/1198  : 睡衣款式
gid://shopify/TaxonomyAttribute/10729 : 花鼓驱动接口
gid://shopify/TaxonomyAttribute/1769  : 奶嘴材质
gid://shopify/TaxonomyAttribute/1767  : 奶嘴形状
gid://shopify/TaxonomyAttribute/1770  : 奶嘴类型
gid://shopify/TaxonomyAttribute/10730 : 箭尾激活方式
gid://shopify/TaxonomyAttribute/10731 : 箭尾适配代码
gid://shopify/TaxonomyAttribute/2884  : 箭尾材质
gid://shopify/TaxonomyAttribute/10732 : 箭尾槽尺寸
gid://shopify/TaxonomyAttribute/10733 : 箭尾透明度
gid://shopify/TaxonomyAttribute/10734 : 箭尾类型
gid://shopify/TaxonomyAttribute/5449  : 降噪技术
